arm,run,n_votes,cost,fnr,fpr,threshold,degenerate,app_trained,n_rows
caltech101_m/siglip/whole_image,safe_on,93,0.04799341666666667,0.0,0.04799341666666667,0.3728131666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,94,0.012201749999999999,0.0,0.012201749999999999,0.42588733333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,94,0.049835750000000005,0.0,0.049835750000000005,0.3723796666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,95,0.012201749999999999,0.0,0.012201749999999999,0.42572950000000004,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,95,0.05187166666666667,0.0,0.05187166666666667,0.3717155833333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,96,0.012811583333333333,0.0,0.012811583333333333,0.4252615833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,96,0.053719333333333334,0.0,0.053719333333333334,0.37107591666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,97,0.012811583333333333,0.0,0.012811583333333333,0.4251533333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,97,0.05434958333333334,0.0,0.05434958333333334,0.37062725,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,98,0.013827833333333333,0.0,0.013827833333333333,0.4250236666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,98,0.05577933333333333,0.0,0.05577933333333333,0.37042783333333335,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,99,0.013827833333333333,0.0,0.013827833333333333,0.42482274999999997,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,99,0.05845566666666666,0.0,0.05845566666666666,0.3699079166666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,100,0.014844083333333332,0.0,0.014844083333333332,0.42460499999999995,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,100,0.061114083333333326,0.0,0.061114083333333326,0.369531,0.0,1.0,12
coco_val/siglip/whole_image,safe_off,3,0.7277575000000001,0.28931025,0.43844700000000003,0.52590125,0.0,0.0,4
coco_val/siglip/whole_image,safe_on,3,0.7277575000000001,0.28931025,0.43844700000000003,0.52590125,0.0,0.0,4
coco_val/siglip/whole_image,safe_off,4,0.5753395263157894,0.09005792105263158,0.48528163157894744,0.5307564210526315,0.0,0.0,38
coco_val/siglip/whole_image,safe_on,4,0.6778790571428571,0.1797515142857143,0.4981275714285714,0.5331331714285714,0.0,0.0,35
coco_val/siglip/whole_image,safe_off,5,0.5274831842105264,0.05768444736842106,0.46979873684210527,0.48606607894736836,0.0,0.0,38
coco_val/siglip/whole_image,safe_on,5,0.6435537105263158,0.15533663157894737,0.4882171052631579,0.5053191578947368,0.0,0.0,38
coco_val/siglip/whole_image,safe_off,6,0.39413665789473684,0.07034336842105264,0.3237933684210526,0.4750808421052632,0.0,0.0,38
coco_val/siglip/whole_image,safe_on,6,0.5996019736842105,0.15986723684210527,0.4397347631578948,0.4858842368421053,0.0,0.0,38
coco_val/siglip/whole_image,safe_off,7,0.3787310263157895,0.0678856052631579,0.3108455,0.4584756578947368,0.0,1.0,38
coco_val/siglip/whole_image,safe_on,7,0.553968,0.1523641052631579,0.40160407894736844,0.4718545,0.0,0.8157894736842105,38
coco_val/siglip/whole_image,safe_off,8,0.3555851842105263,0.06789634210526316,0.2876888157894737,0.4488673684210526,0.0,1.0,38
coco_val/siglip/whole_image,safe_on,8,0.5165550789473684,0.13964036842105262,0.37691471052631575,0.4583004210526316,0.0,0.8947368421052632,38
coco_val/siglip/whole_image,safe_off,9,0.32310936842105265,0.0716335,0.25147592105263156,0.4399328947368421,0.0,1.0,38
