geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
dinov3_patch/max_patch,region,mid 26-60,0.30,0.3,25.761904761904763,0.21261421713137127,48,n_cal_scores
dinov3_patch/max_patch,region,mid 26-60,0.40,0.4,34.38690476190476,0.20081971256501968,48,n_cal_scores
dinov3_patch/max_patch,region,mid 26-60,0.50,0.5,42.9952380952381,0.2051303205297492,48,n_cal_scores
dinov3_patch/max_patch,region,mid 26-60,0.60,0.6,51.62619047619048,0.20652267148432701,48,n_cal_scores
dinov3_patch/max_patch,region,mid 26-60,0.70,0.7,60.211904761904755,0.23837875723398566,48,n_cal_scores
dinov3_patch/whole_image,binary,deep 101-150,0.30,0.3,75.30083333333333,0.20143985252277544,48,n_cal_scores
dinov3_patch/whole_image,binary,deep 101-150,0.40,0.4,100.37416666666667,0.2154049460438235,48,n_cal_scores
dinov3_patch/whole_image,binary,deep 101-150,0.50,0.5,125.5425,0.19119445376092,48,n_cal_scores
dinov3_patch/whole_image,binary,deep 101-150,0.60,0.6,150.60416666666666,0.16153299291914586,48,n_cal_scores
dinov3_patch/whole_image,binary,deep 101-150,0.70,0.7,175.7541666666667,0.20194620447917966,48,n_cal_scores
dinov3_patch/whole_image,binary,early 1-25,0.30,0.3,9.238095238095239,0.2867256668794657,48,n_cal_scores
dinov3_patch/whole_image,binary,early 1-25,0.40,0.4,12.005952380952381,0.3108847021277813,48,n_cal_scores
dinov3_patch/whole_image,binary,early 1-25,0.50,0.5,15.011904761904761,0.2789645128000087,48,n_cal_scores
dinov3_patch/whole_image,binary,early 1-25,0.60,0.6,17.988095238095237,0.3159453890773518,48,n_cal_scores
dinov3_patch/whole_image,binary,early 1-25,0.70,0.7,21.336899540517962,0.5437261394758535,48,n_cal_scores
dinov3_patch/whole_image,binary,late 61-100,0.30,0.3,48.30104166666666,0.24067493379840227,48,n_cal_scores
dinov3_patch/whole_image,binary,late 61-100,0.40,0.4,64.409375,0.1928664652142916,48,n_cal_scores
dinov3_patch/whole_image,binary,late 61-100,0.50,0.5,80.48645833333333,0.21281786822412635,48,n_cal_scores
dinov3_patch/whole_image,binary,late 61-100,0.60,0.6,96.60625,0.2232794737638325,48,n_cal_scores
dinov3_patch/whole_image,binary,late 61-100,0.70,0.7,112.67083333333333,0.1959247937926587,48,n_cal_scores
dinov3_patch/whole_image,binary,mid 26-60,0.30,0.3,25.820238095238096,0.2357503579902196,48,n_cal_scores
dinov3_patch/whole_image,binary,mid 26-60,0.40,0.4,34.42738095238095,0.23486460717276467,48,n_cal_scores
dinov3_patch/whole_image,binary,mid 26-60,0.50,0.5,42.996428571428574,0.23748757309171656,48,n_cal_scores
dinov3_patch/whole_image,binary,mid 26-60,0.60,0.6,51.59047619047619,0.19841607562137564,48,n_cal_scores
dinov3_patch/whole_image,binary,mid 26-60,0.70,0.7,60.17023809523809,0.23736565015681252,48,n_cal_scores
siglip/whole_image,binary,deep 101-150,0.30,0.3,75.34083333333334,0.19716968967066079,48,n_cal_scores
siglip/whole_image,binary,deep 101-150,0.40,0.4,100.38499999999999,0.18682111138619886,48,n_cal_scores
siglip/whole_image,binary,deep 101-150,0.50,0.5,125.53500000000001,0.19432370449242517,48,n_cal_scores
siglip/whole_image,binary,deep 101-150,0.60,0.6,150.58916666666667,0.19918806822905633,48,n_cal_scores
siglip/whole_image,binary,deep 101-150,0.70,0.7,175.64833333333334,0.19262280783772873,48,n_cal_scores
siglip/whole_image,binary,early 1-25,0.30,0.3,9.180555555555555,0.24359570104964604,48,n_cal_scores
siglip/whole_image,binary,early 1-25,0.40,0.4,12.011904761904761,0.24821454386629246,48,n_cal_scores
siglip/whole_image,binary,early 1-25,0.50,0.5,15.011904761904761,0.2458710023859094,48,n_cal_scores
siglip/whole_image,binary,early 1-25,0.60,0.6,18.009920634920636,0.28486166827417314,48,n_cal_scores
siglip/whole_image,binary,early 1-25,0.70,0.7,21.13015350877193,0.5508640730721818,48,n_cal_scores
siglip/whole_image,binary,late 61-100,0.30,0.3,48.32916666666667,0.22261342634408204,48,n_cal_scores
siglip/whole_image,binary,late 61-100,0.40,0.4,64.39479166666666,0.20322913997095385,48,n_cal_scores
siglip/whole_image,binary,late 61-100,0.50,0.5,80.49479166666667,0.22247150985021868,48,n_cal_scores
siglip/whole_image,binary,late 61-100,0.60,0.6,96.64375,0.2258847851675956,48,n_cal_scores
siglip/whole_image,binary,late 61-100,0.70,0.7,112.69375000000001,0.2102746431025797,48,n_cal_scores
siglip/whole_image,binary,mid 26-60,0.30,0.3,25.829761904761906,0.20501386444402078,48,n_cal_scores
siglip/whole_image,binary,mid 26-60,0.40,0.4,34.37380952380952,0.23455935782509152,48,n_cal_scores
siglip/whole_image,binary,mid 26-60,0.50,0.5,43.01428571428571,0.21751368112451155,48,n_cal_scores
siglip/whole_image,binary,mid 26-60,0.60,0.6,51.60595238095238,0.24478642464277012,48,n_cal_scores
siglip/whole_image,binary,mid 26-60,0.70,0.7,60.21071428571429,0.22120539787801044,48,n_cal_scores
