geometry,mode,t,median,q25,q75,n_blocks
dinov3_patch/whole_image,binary,40,0.08466390218579767,0.06266013367650833,0.10416211212770825,25
dinov3_patch/whole_image,binary,41,0.08658538004735404,0.060080072640360985,0.10261220919271997,25
dinov3_patch/whole_image,binary,42,0.08317609272246633,0.06310616380544355,0.09847231930396802,25
dinov3_patch/whole_image,binary,43,0.07690270051715725,0.06204010552306594,0.09755162498881244,25
dinov3_patch/whole_image,binary,44,0.07847169345927095,0.05784809750178751,0.09692707949978631,25
dinov3_patch/whole_image,binary,45,0.07340861544310506,0.05722752699954988,0.10331210716943816,25
dinov3_patch/whole_image,binary,46,0.0771060162220105,0.052247529209875965,0.09952365756599361,25
dinov3_patch/whole_image,binary,47,0.07545102326666513,0.06330327078144499,0.10278932333938394,25
dinov3_patch/whole_image,binary,48,0.0710900773885165,0.06016225561639648,0.10361571143020175,25
dinov3_patch/whole_image,binary,49,0.0751827196056731,0.05860553429702244,0.10385585996005282,25
dinov3_patch/whole_image,binary,50,0.07268423568560106,0.06118403857087324,0.10343462765512941,25
dinov3_patch/whole_image,binary,51,0.08423158323061987,0.05748089110604269,0.10312371047143992,25
dinov3_patch/whole_image,binary,52,0.07437332802562956,0.059328391606535406,0.09622310922580697,25
dinov3_patch/whole_image,binary,53,0.07489898679159748,0.05628071661859532,0.10017931036549046,25
dinov3_patch/whole_image,binary,54,0.07976662822462985,0.05506953566697577,0.09803388969712143,25
dinov3_patch/whole_image,binary,55,0.07795499645205221,0.061806225484339804,0.09610853089375189,25
dinov3_patch/whole_image,binary,56,0.07883597896706006,0.05558122345711251,0.09729883343784647,25
dinov3_patch/whole_image,binary,57,0.07709681510255723,0.06252261595318086,0.09276094889065516,25
dinov3_patch/whole_image,binary,58,0.07542461518705806,0.06396399836871644,0.09281283268441527,25
dinov3_patch/whole_image,binary,59,0.07972393259629394,0.06276661338262314,0.09677558892471964,25
dinov3_patch/whole_image,binary,60,0.07865224679380213,0.06496063548551213,0.0976134882383065,25
dinov3_patch/whole_image,binary,61,0.07886475920433596,0.061546775216967255,0.08870295512876848,25
dinov3_patch/whole_image,binary,62,0.07651285917749898,0.06134161365011521,0.09401857791973882,25
dinov3_patch/whole_image,binary,63,0.07507321643253549,0.06249050803751593,0.0919855204322226,25
dinov3_patch/whole_image,binary,64,0.07472794784752644,0.06226785813553283,0.08839117230349897,25
dinov3_patch/whole_image,binary,65,0.0731920911527008,0.057981918097845496,0.08528649923730756,25
dinov3_patch/whole_image,binary,66,0.07588948701992501,0.05165180074129479,0.08855930345781979,25
dinov3_patch/whole_image,binary,67,0.0736104747583879,0.05241130030170773,0.08287492137093992,25
dinov3_patch/whole_image,binary,68,0.06960761647925953,0.05552444475446922,0.08765882304924558,25
dinov3_patch/whole_image,binary,69,0.07129563219964719,0.05960910707495696,0.08781968675188953,25
dinov3_patch/whole_image,binary,70,0.06922562247052445,0.05945750631578914,0.08724615502242702,25
dinov3_patch/whole_image,binary,71,0.06886551755206054,0.06000005286249864,0.08898854267132253,25
dinov3_patch/whole_image,binary,72,0.07115586805960411,0.05554243787788236,0.08038860856474825,25
dinov3_patch/whole_image,binary,73,0.0677026301979939,0.04993176296222465,0.07664443757136966,25
dinov3_patch/whole_image,binary,74,0.06736611384102623,0.046682437006555826,0.07956942269587773,25
dinov3_patch/whole_image,binary,75,0.06772474980115428,0.050045415351800314,0.0808528487125482,25
dinov3_patch/whole_image,binary,76,0.06525187391009508,0.0458005809398918,0.07958747500010353,25
dinov3_patch/whole_image,binary,77,0.0679793031246508,0.04803175500533065,0.08184323065295723,25
dinov3_patch/whole_image,binary,78,0.06404437373242827,0.0497209447012974,0.07967169477761121,25
dinov3_patch/whole_image,binary,79,0.06178336062403857,0.051500847064955106,0.075892159388382,25
dinov3_patch/whole_image,binary,80,0.06176459369028761,0.04811980730809737,0.08053054349256494,25
dinov3_patch/whole_image,binary,81,0.058598430103342494,0.04948485447644828,0.07949447693857002,25
