geometry,mode,category,band,metric,n_seeds,n_draws,sd_draw,sd_seed,seed_var_was_negative,share_draw
dinov3_patch/max_patch,region,kite,mid 26-60,regret,5,20,0.037641247447478786,0.009235374885465409,False,0.9432201657781715
dinov3_patch/max_patch,region,kite,mid 26-60,n_good,5,20,1.4433869346711494,1.1424345976386783,False,0.6148301358697553
dinov3_patch/max_patch,region,knife,deep 101-150,cost,5,20,0.027736663675783656,0.0,True,1.0
dinov3_patch/max_patch,region,knife,deep 101-150,f1,5,20,0.03856432870891617,0.019463575480495925,False,0.7969865962143318
dinov3_patch/max_patch,region,knife,deep 101-150,auroc,5,20,0.005417879672698853,0.004191532991116626,False,0.6255741301275801
dinov3_patch/max_patch,region,knife,deep 101-150,threshold,5,20,0.023179908286426857,0.0,True,1.0
dinov3_patch/max_patch,region,knife,deep 101-150,oracle_cost,5,20,0.021380619081605573,0.004937119266260475,False,0.9493772752792853
dinov3_patch/max_patch,region,knife,deep 101-150,regret,5,20,0.03031333096513197,0.003152622375080277,False,0.9892994926171316
dinov3_patch/max_patch,region,knife,deep 101-150,n_good,5,20,4.756786420749998,0.9739456593508841,False,0.9597647286864427
dinov3_patch/max_patch,region,knife,early 1-25,cost,5,20,0.05582869438231905,0.028328493829318128,False,0.7952455783197757
dinov3_patch/max_patch,region,knife,early 1-25,f1,5,20,0.034554899664199695,0.03074889607603156,False,0.5580842097720762
dinov3_patch/max_patch,region,knife,early 1-25,auroc,5,20,0.031800968894997436,0.019498248826129664,False,0.7267795458962851
dinov3_patch/max_patch,region,knife,early 1-25,threshold,5,20,0.013430081894798294,0.007826962389656605,False,0.7464646948771697
dinov3_patch/max_patch,region,knife,early 1-25,oracle_cost,5,20,0.05851233933622288,0.03183276156112522,False,0.7716203585419412
dinov3_patch/max_patch,region,knife,early 1-25,regret,5,20,0.009752431442629732,0.0031863664740923213,False,0.9035468707770962
dinov3_patch/max_patch,region,knife,early 1-25,n_good,5,20,0.7015082150937195,0.4685573157789096,False,0.6915015032090539
dinov3_patch/max_patch,region,knife,late 61-100,cost,5,20,0.02674100113428022,0.005426909412357623,False,0.9604431690127345
dinov3_patch/max_patch,region,knife,late 61-100,f1,5,20,0.03980228497357768,0.018388450920508483,False,0.8241038868556387
dinov3_patch/max_patch,region,knife,late 61-100,auroc,5,20,0.0071416086889516195,0.0043930167349592215,False,0.7254868469252551
dinov3_patch/max_patch,region,knife,late 61-100,threshold,5,20,0.021365120800844312,0.0032541330005964016,False,0.9773274693162953
dinov3_patch/max_patch,region,knife,late 61-100,oracle_cost,5,20,0.02640774356841987,0.010745407118401188,False,0.857948905206138
dinov3_patch/max_patch,region,knife,late 61-100,regret,5,20,0.028064465994785577,0.004386909988427836,False,0.97614828149511
dinov3_patch/max_patch,region,knife,late 61-100,n_good,5,20,3.82862865376378,1.1443157645855213,False,0.9179940892375084
dinov3_patch/max_patch,region,knife,mid 26-60,cost,5,20,0.052910115435686994,0.022640560453460665,False,0.8452345033580069
dinov3_patch/max_patch,region,knife,mid 26-60,f1,5,20,0.04819765222976107,0.017741326356060943,False,0.880673880287315
dinov3_patch/max_patch,region,knife,mid 26-60,auroc,5,20,0.026212607572918607,0.012420969566598805,False,0.8166342792443093
dinov3_patch/max_patch,region,knife,mid 26-60,threshold,5,20,0.01966887925306333,0.00799625028099822,False,0.8581647436893389
dinov3_patch/max_patch,region,knife,mid 26-60,oracle_cost,5,20,0.05791491625106103,0.02815949383761677,False,0.8087921385170445
dinov3_patch/max_patch,region,knife,mid 26-60,regret,5,20,0.02346615502420165,0.0036676153980285836,False,0.9761547234266286
dinov3_patch/max_patch,region,knife,mid 26-60,n_good,5,20,2.2302788909140294,1.04493459778172,False,0.8199995862930642
dinov3_patch/whole_image,binary,bicycle,deep 101-150,cost,5,20,0.03957753547117419,0.02248101713131566,False,0.7560567461423131
dinov3_patch/whole_image,binary,bicycle,deep 101-150,f1,5,20,0.02103334020605028,0.0036625673760332282,False,0.9705705686732137
dinov3_patch/whole_image,binary,bicycle,deep 101-150,auroc,5,20,0.022424715006447646,0.013869163674065259,False,0.7233202816572724
dinov3_patch/whole_image,binary,bicycle,deep 101-150,threshold,5,20,0.007828944359255905,0.003428000429825349,False,0.8391208277169554
dinov3_patch/whole_image,binary,bicycle,deep 101-150,oracle_cost,5,20,0.03903164425075976,0.0236789694009448,False,0.7309741926896638
dinov3_patch/whole_image,binary,bicycle,deep 101-150,regret,5,20,0.014037879431960476,0.004199941196066839,False,0.9178417444200173
dinov3_patch/whole_image,binary,bicycle,deep 101-150,n_good,5,20,8.937082933956754,3.126159102089806,False,0.8909817096873451
dinov3_patch/whole_image,binary,bicycle,early 1-25,cost,5,20,0.026523712417947588,0.01901486338456981,False,0.6605253816361596
dinov3_patch/whole_image,binary,bicycle,early 1-25,f1,5,20,0.004055133335861184,0.0022539559175306463,False,0.7639742944651443
dinov3_patch/whole_image,binary,bicycle,early 1-25,auroc,5,20,0.01688561626925307,0.02466212443705973,False,0.31916473744580093
dinov3_patch/whole_image,binary,bicycle,early 1-25,threshold,5,20,0.010223622216718358,0.014286036627469531,False,0.3386842153154742
dinov3_patch/whole_image,binary,bicycle,early 1-25,oracle_cost,5,20,0.023398036250671866,0.03609063582614015,False,0.2959283678377556
dinov3_patch/whole_image,binary,bicycle,early 1-25,regret,5,20,0.02464380754796846,0.031719760840645435,False,0.37640664810109026
dinov3_patch/whole_image,binary,bicycle,early 1-25,n_good,5,20,0.9137589481903853,1.5425713941628774,False,0.25974805140966456
dinov3_patch/whole_image,binary,bicycle,late 61-100,cost,5,20,0.05887375999384481,0.029763113958608766,False,0.7964497767144444
dinov3_patch/whole_image,binary,bicycle,late 61-100,f1,5,20,0.03334951505019909,0.009076864982811574,False,0.9310305686542835
dinov3_patch/whole_image,binary,bicycle,late 61-100,auroc,5,20,0.021884456478057614,0.0178576439428087,False,0.6002939314481854
dinov3_patch/whole_image,binary,bicycle,late 61-100,threshold,5,20,0.01020395117290396,0.0035061857592642806,False,0.8943997886742913
dinov3_patch/whole_image,binary,bicycle,late 61-100,oracle_cost,5,20,0.039327981348049774,0.02997923996892494,False,0.6324779952316757
dinov3_patch/whole_image,binary,bicycle,late 61-100,regret,5,20,0.038934770026982035,0.0,True,1.0
dinov3_patch/whole_image,binary,bicycle,late 61-100,n_good,5,20,8.86650084142852,3.3768928744035347,False,0.8733211719235265
dinov3_patch/whole_image,binary,bicycle,mid 26-60,cost,5,20,0.06931941730070039,0.01676662841333895,False,0.9447300103057154
dinov3_patch/whole_image,binary,bicycle,mid 26-60,f1,5,20,0.03282984951122708,0.011348600801369702,False,0.8932605393176951
dinov3_patch/whole_image,binary,bicycle,mid 26-60,auroc,5,20,0.020710646672374846,0.013893371251856234,False,0.6896475588137317
dinov3_patch/whole_image,binary,bicycle,mid 26-60,threshold,5,20,0.011252092381213153,0.00969309269066583,False,0.574022269955472
dinov3_patch/whole_image,binary,bicycle,mid 26-60,oracle_cost,5,20,0.03262427762709791,0.023449904929102344,False,0.6593458721474061
dinov3_patch/whole_image,binary,bicycle,mid 26-60,regret,5,20,0.05983600370899618,0.026655939025497885,False,0.8344073893079272
dinov3_patch/whole_image,binary,bicycle,mid 26-60,n_good,5,20,4.7033151459344475,3.4302436554832076,False,0.6527779711688216
dinov3_patch/whole_image,binary,bird,deep 101-150,cost,5,20,0.033019201115762876,0.023650906488437862,False,0.6609152636211498
dinov3_patch/whole_image,binary,bird,deep 101-150,f1,5,20,0.02128910555205901,0.007594274007000634,False,0.8871146816940886
dinov3_patch/whole_image,binary,bird,deep 101-150,auroc,5,20,0.01673894282913507,0.02169685100228059,False,0.3731192053382854
dinov3_patch/whole_image,binary,bird,deep 101-150,threshold,5,20,0.007933842086726135,0.0026204970306547247,False,0.9016369593665505
dinov3_patch/whole_image,binary,bird,deep 101-150,oracle_cost,5,20,0.03186343983470263,0.0400733651970898,False,0.38734047367296315
dinov3_patch/whole_image,binary,bird,deep 101-150,regret,5,20,0.035180527351373475,0.022130163401772856,False,0.7164870522469367
dinov3_patch/whole_image,binary,bird,deep 101-150,n_good,5,20,9.522168505788562,3.374655248668881,False,0.8884156472617171
dinov3_patch/whole_image,binary,bird,early 1-25,cost,5,20,0.027735649950377583,0.030306469845929915,False,0.4557944072118582
dinov3_patch/whole_image,binary,bird,early 1-25,f1,5,20,0.0038971673997835444,0.00337690331804233,False,0.5711590811254292
dinov3_patch/whole_image,binary,bird,early 1-25,auroc,5,20,0.013429202544013526,0.023321438975040316,False,0.24901306866208553
dinov3_patch/whole_image,binary,bird,early 1-25,threshold,5,20,0.011154704506108547,0.007056827782565516,False,0.7141715552327015
dinov3_patch/whole_image,binary,bird,early 1-25,oracle_cost,5,20,0.019076280788282964,0.03092055748266675,False,0.2756882755721966
dinov3_patch/whole_image,binary,bird,early 1-25,regret,5,20,0.0276160806591343,0.01933703874273804,False,0.6710089097327301
dinov3_patch/whole_image,binary,bird,early 1-25,n_good,5,20,0.9191057221036402,0.22933235406531613,False,0.9413903077589535
dinov3_patch/whole_image,binary,bird,late 61-100,cost,5,20,0.051071091076749696,0.02403821735847011,False,0.8186380522935798
dinov3_patch/whole_image,binary,bird,late 61-100,f1,5,20,0.024962795641982047,0.013477726892094121,False,0.77429011658465
dinov3_patch/whole_image,binary,bird,late 61-100,auroc,5,20,0.015923739955087193,0.02262309983573025,False,0.33129786595328725
