tier,class_id,source,method,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,tobacco800/logo_aeq93a00_1,tobacco800,sift,9,46659,,0.13756556768419123,2,0.2222222222222222,0.2222222222222222,0.2222222222222222
m,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t4,9,46659,,0.0029830274851454838,229,0.0,0.0,0.0
m,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t4100_sift,9,46659,0.0,0.0029830274851454838,229,0.0,0.0,0.0
m,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t4500_sift,9,46659,0.3333333333333333,0.01625454761672513,13,0.0,0.1111111111111111,0.3333333333333333
m,tobacco800/logo_aeq93a00_1,tobacco800,vlad_t41000_sift,9,46659,0.3333333333333333,0.01099256480915677,19,0.0,0.1111111111111111,0.1111111111111111
m,tobacco800/logo_afm90c00-first_1_0,tobacco800,sift,79,46659,,0.8567013108459732,1,0.12658227848101267,0.5949367088607594,0.8860759493670886
m,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t4,79,46659,,0.05208226707801821,14,0.0,0.0759493670886076,0.12658227848101267
m,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t4100_sift,79,46659,0.12658227848101267,0.15827559684496895,1,0.11392405063291139,0.12658227848101267,0.12658227848101267
m,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t4500_sift,79,46659,0.3037974683544304,0.30893536837832763,1,0.12658227848101267,0.2911392405063291,0.2911392405063291
m,tobacco800/logo_afm90c00-first_1_0,tobacco800,vlad_t41000_sift,79,46659,0.5063291139240507,0.49311159151353007,1,0.12658227848101267,0.46835443037974683,0.4810126582278481
m,tobacco800/logo_ajj10e00_1,tobacco800,sift,46,46659,,0.9266334645874634,1,0.21739130434782608,0.9130434782608695,0.9565217391304348
m,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t4,46,46659,,0.2239805198066522,1,0.10869565217391304,0.30434782608695654,0.391304347826087
m,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t4100_sift,46,46659,0.391304347826087,0.4207144927388712,1,0.21739130434782608,0.391304347826087,0.391304347826087
m,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t4500_sift,46,46659,0.6521739130434783,0.6552142051250661,1,0.21739130434782608,0.6521739130434783,0.6521739130434783
m,tobacco800/logo_ajj10e00_1,tobacco800,vlad_t41000_sift,46,46659,0.6521739130434783,0.6530825088764162,1,0.21739130434782608,0.6521739130434783,0.6521739130434783
m,tobacco800/logo_ald41a00-ernest_1,tobacco800,sift,45,46659,,0.8850166837602962,1,0.2,0.8666666666666667,0.9777777777777777
m,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t4,45,46659,,0.010678068450335502,92,0.0,0.0,0.022222222222222223
m,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t4100_sift,45,46659,0.022222222222222223,0.032658744778837914,1,0.022222222222222223,0.022222222222222223,0.022222222222222223
m,tobacco800/logo_ald41a00-ernest_1,tobacco800,vlad_t4500_sift,45,46659,0.15555555555555556,0.16420554741079918,1,0.15555555555555556,0.15555555555555556,0.15555555555555556
