dataset,embedder,seed,trust_k10,trust_k50,cont_k10,shepard,purity_embedding,purity_layout,containment_core,containment_unit,noise,purity_drop
vg_box_large,dinov3_patch,0,0.9588647679678338,0.9156446708839118,0.9681512034399956,0.2414644877876568,0.5182333333333333,0.4914666666666667,0.8949242551461596,0.7473029722578802,0.19,0.026766666666666605
vg_box_large,dinov3_patch,1,0.956354241358128,0.9132569122926996,0.967125369967052,0.2102022044464357,0.5357,0.5107333333333334,0.8925875869895382,0.7321444792580563,0.1866666666666666,0.02496666666666658
vg_box_large,dinov3_patch,2,0.9587163455631876,0.9148751193936284,0.9676012509074664,0.2215106980684646,0.5265,0.4960333333333333,0.8961354079117048,0.7723920091273797,0.1793333333333333,0.030466666666666642
vg_scale_any,dinov3_patch,0,0.9492182163399788,0.9027982789080754,0.9648332495672084,0.1870636293125165,0.3391367959034382,0.3223847841989758,0.8955526539281242,0.7556465723762202,0.2336666666666666,0.01675201170446239
vg_scale_any,dinov3_patch,1,0.94770696375719,0.895683592636918,0.9638410342324232,0.2002857678919009,0.3454410674573758,0.3306893995552261,0.8954553119656264,0.7763854881612138,0.1436666666666666,0.014751667902149712
vg_scale_any,dinov3_patch,2,0.9464322220360752,0.8935538496609107,0.9629733400346232,0.1910031441815408,0.3502657555049355,0.3446469248291571,0.8925503360620147,0.7182041652231703,0.2593333333333333,0.005618830675778397
visual_genome_m,dinov3_patch,0,0.925179170156922,0.8674501441841911,0.9500895515720108,0.2012827678931986,0.8490333333333334,0.8212666666666667,0.892900372156486,0.6930599542668494,0.2676666666666666,0.027766666666666717
visual_genome_m,dinov3_patch,1,0.9283758641871892,0.8700886259759503,0.9510427877366392,0.2101218816188411,0.8552000000000001,0.8276666666666667,0.895538418187997,0.7764654541760986,0.0296666666666666,0.02753333333333341
visual_genome_m,dinov3_patch,2,0.9260874071592116,0.8668040485553086,0.9523792930139052,0.2019196299524552,0.8541000000000001,0.8297333333333333,0.8936553437204522,0.8002217866444405,0.045,0.02436666666666676
caltech101_m,siglip,0,0.9898545531044388,0.8801980672170273,0.991678551479496,0.2963141647608154,0.9917661097852029,0.9979713603818616,0.8817825643285602,0.841706187821473,0.0501193317422434,-0.006205250596658773
