mode,schedule,mean,se,n,ci_hi,question
binary,corridor:w=0.05,-0.005970205295138889,0.0008752710417361677,384,-0.0042546740533360005,q1c
binary,corridor:w=0.1,-0.010715495659722222,0.0010330705355941507,384,-0.008690677409957687,q1c
binary,corridor:w=0.2,-0.019697585069444443,0.0014113317354833561,384,-0.016931374867897066,q1c
binary,corridor:w=0.3,-0.026211967447916668,0.0018990726194519317,384,-0.02248978511379088,q1c
binary,corridor:w=0.5,-0.04163847439236112,0.0029867075824359787,384,-0.0357845275307866,q1c
binary,corridor:w=0.75,-0.060658504774305545,0.005282108951391992,384,-0.05030557122957724,q1c
binary,corridor_ramp,-0.0016177890624999997,0.0008324654000497964,384,1.3843121597601274e-05,q1c
binary,corridor_ramp:w=0.2,-0.0015717630208333336,0.0008140987622552633,384,2.3870553186982387e-05,q1c
binary,corridor_ramp:w=0.5,-0.0015707395833333328,0.000820350766451563,384,3.714791891173052e-05,q1c
binary,prod,0.0,0.0,384,0.0,q1c
binary,pure_gmm,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,pure_xcal,0.37938065625,0.012459074201457759,384,0.40380044168485724,q1c
binary,rare:lo=0:hi=16,0.03637079861111111,0.01698241181782538,384,0.06965632577404884,q1c
binary,rare:lo=0:hi=32,-0.1718410685763889,0.013348511061145365,384,-0.145677986896544,q1c
binary,rare:lo=0:hi=4,0.37938065625,0.012459074201457759,384,0.40380044168485724,q1c
binary,rare:lo=0:hi=64,-0.15252748828124998,0.007849147059634985,384,-0.13714316004436541,q1c
binary,rare:lo=0:hi=8,0.36631545572916663,0.012304205857152823,384,0.3904316992091862,q1c
binary,rare:lo=1:hi=16,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=16:cap=0.5,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=16:cap=0.8,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=32,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=32:cap=0.5,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=32:cap=0.8,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=4,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=4:cap=0.5,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=64,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=8,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=8:cap=0.5,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=1:hi=8:cap=0.8,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=2:hi=16,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=2:hi=32,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=2:hi=4,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=2:hi=64,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=2:hi=8,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=4:hi=16,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=4:hi=32,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=4:hi=64,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,rare:lo=4:hi=8,-0.0015372421874999993,0.0008072225929234505,384,4.491409462996365e-05,q1c
binary,slow_cap50,-0.002073980902777778,0.0010774879240210567,384,3.7895428303493395e-05,q1c
region,cap50,0.0,0.0,288,0.0,q1c
region,cap80,0.0,0.0,288,0.0,q1c
region,corridor,0.014931361689814817,0.007603330199031666,288,0.029833888879916885,q1c
