env,mode,schedule,family,mean,se,n,improved,resolvable,weighting,question
visual_genome_m / binary,binary,rare:lo=1:hi=32:cap=0.5,rare,-0.012090507049817662,0.002856881455253362,136,0.6323529411764706,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=32:cap=0.8,rare,-0.009744577416973547,0.0031143075470912705,136,0.6176470588235294,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=4,rare,0.018413097729465956,0.005317276471666993,136,0.33088235294117646,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=4:cap=0.5,rare,-0.01216570142386515,0.00414761268197697,136,0.5441176470588235,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=64,rare,-0.008572587933186578,0.002694638065119726,136,0.6029411764705882,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=8,rare,-0.0013509544631216206,0.0047597761391310785,136,0.49264705882352944,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=8:cap=0.5,rare,-0.015112285885415196,0.003780530879554161,136,0.5882352941176471,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=8:cap=0.8,rare,-0.007227358207852875,0.004357380910373015,136,0.5073529411764706,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=2:hi=16,rare,-0.005266609344504604,0.003765016455737522,136,0.5735294117647058,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=2:hi=32,rare,-0.006330031386559374,0.003155231525533991,136,0.5882352941176471,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=2:hi=4,rare,0.014201638886585486,0.005211160506214311,136,0.3602941176470588,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=2:hi=64,rare,-0.007214658067517001,0.0026442788233833592,136,0.5661764705882353,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=2:hi=8,rare,-0.0014302463297562625,0.0044620662988294054,136,0.5147058823529411,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=4:hi=16,rare,0.0009645749984679953,0.003404917496371101,136,0.5220588235294118,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=4:hi=32,rare,-0.002497164184568882,0.00297486683128181,136,0.5735294117647058,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=4:hi=64,rare,-0.005244349324535935,0.0025728191970773064,136,0.5441176470588235,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=4:hi=8,rare,0.005646598967951096,0.0037259767052941354,136,0.47058823529411764,False,1:1,q2
visual_genome_m / binary,binary,slow_cap50,reference,-0.011016315764956541,0.003762508603372656,136,0.5514705882352942,True,1:1,q2
visual_genome_m / region,region,cap50,reference,-0.013336470617881332,0.003855274217034755,136,0.5955882352941176,True,1:1,q2
visual_genome_m / region,region,cap80,reference,-0.004916452007666584,0.0043414312770067845,136,0.5073529411764706,False,1:1,q2
visual_genome_m / region,region,corridor,corridor,-0.0005563265219855067,0.004374671674839328,136,0.40441176470588236,False,1:1,q2
visual_genome_m / region,region,corridor:w=0.05,corridor,-0.015629237637758482,0.003099146293446179,136,0.6176470588235294,True,1:1,q2
