arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,6,74,14782,0.010441182696455586,0.002816857172473573,0.018647181173917074,0.6030983628737654,0.668235719203949
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,6,74,14782,0.019376961689173383,0.008053660826575455,0.03357881001861273,0.5438370991746719,1.2401256561279297
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,6,74,14782,0.025908914147539937,0.012574222736963282,0.042428988805107266,0.47936679745636585,1.658170461654663
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,6,74,14782,0.03550605319086006,0.02007938382030261,0.0530557370259516,0.42734406710864564,2.2723875045776367
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,10,74,14782,-0.0012674432938664464,-0.0029872134799894343,-5.6058276413501115e-05,0.670139358679475,-1.2978618144989014
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,10,74,14782,-0.00011200573269653168,-0.0003405327483602759,7.067805814828579e-06,0.01785955892301448,-0.11469387263059616
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,10,74,14782,0.002275541270174054,0.00035688771213982195,0.005819802241534472,0.842917061290759,2.3301544189453125
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,10,74,14782,0.004453015204145797,0.0009171709663897254,0.008827959549272043,0.7718847246651332,4.559887886047363
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,10,74,14782,0.010906617928707714,0.005247726072057786,0.017331914997327186,0.6854282235150859,11.168376922607422
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,10,74,14782,0.02235012683731101,0.012945538015756519,0.03336058887904761,0.5767825734000812,22.88652992248535
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,10,74,14782,0.031442599188586745,0.018434974859091863,0.04782083588231486,0.5133270193478555,32.19721984863281
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,10,74,14782,0.046343952395349136,0.029028235586603744,0.0640054065195727,0.42152618048978485,47.456207275390625
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/siglip/whole_image,-10,74,14767,-0.007590373954459468,-0.01059308910523177,-0.005063641469595916,0.561048283334462,-7.772542476654053
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/siglip/whole_image,-10,74,14767,-0.0063420216493516425,-0.008986111949340432,-0.004009525368939182,0.558339540868152,-6.494230270385742
fold_anchored_w0.3_cross_tilt_qmean,coco_val/siglip/whole_image,-10,74,14767,-0.0009301007821950652,-0.003629846287872538,0.001311742758846505,0.4981377395544119,-0.9524232149124146
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/siglip/whole_image,-10,74,14767,-0.00047726030227387446,-0.004326002639655603,0.004764027819731717,0.4824947518114715,-0.4887145757675171
fold_anchored_w0.3_rate_qmean,coco_val/siglip/whole_image,-10,74,14767,0.0042722234644020935,0.0011230375523745032,0.007074357687914114,0.28956456964854066,4.374757289886475
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/siglip/whole_image,-10,74,14767,0.025493411079791,0.016879851377764588,0.03550374358238561,0.14694927879731834,26.105253219604492
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/siglip/whole_image,-10,74,14767,0.056237126328165084,0.04277270706427597,0.07034878300171044,0.0771314417281777,57.58680725097656
fold_anchored_w0.3_mid_qmean,coco_val/siglip/whole_image,-10,74,14767,0.09683393814122758,0.08100781267468748,0.11313068572545072,0.030270197061014425,99.15795135498047
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/siglip/whole_image,-6,74,14767,-0.010812985289433258,-0.01595806078427469,-0.006108816028532803,0.5010496377056951,-0.6920310258865356
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/siglip/whole_image,-6,74,14767,-0.00817292694945708,-0.012360834435137164,-0.004488917123170403,0.49583530845804835,-0.5230672955513
fold_anchored_w0.3_cross_tilt_qmean,coco_val/siglip/whole_image,-6,74,14767,-0.004654030483318304,-0.00796423811545439,-0.001734068038658242,0.5928082887519469,-0.29785794019699097
fold_anchored_w0.3_rate_qmean,coco_val/siglip/whole_image,-6,74,14767,0.005038213259320253,0.0016750415126365182,0.008050113105383462,0.29836798266404824,0.3224456310272217
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/siglip/whole_image,-6,74,14767,0.009366500678437218,0.004723630771239776,0.014280535269217822,0.27446333039886234,0.5994561314582825
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/siglip/whole_image,-6,74,14767,0.03767255496682451,0.028960160545916182,0.04767399831188093,0.07022414843908716,2.411043405532837
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/siglip/whole_image,-6,74,14767,0.05942312251411479,0.048217971867337395,0.07179821684973856,0.07401638789192118,3.8030800819396973
fold_anchored_w0.3_mid_qmean,coco_val/siglip/whole_image,-6,74,14767,0.0799313706507697,0.06696545714605383,0.09291292344178637,0.05383625651791156,5.115607738494873
fold_anchored_w0.3_cross_tilt_qmean,coco_val/siglip/whole_image,-4,74,14767,-0.013074044544073576,-0.016434227384869136,-0.010277053962872252,0.7323085257669127,-0.2091846913099289
