window,env,arm,metric,mean,se,n,n_clusters,frac_ref_better
t10,coco_val/siglip2_l,linear,f1,0.015940031578947376,0.011999993137680914,95,19,0.42105263157894735
t10,coco_val/siglip2_l,linear,fnr,0.015359263157894737,0.006571603248285597,95,19,0.43157894736842106
t10,coco_val/siglip2_l,linear,fpr,-0.015226410526315792,0.010207635336795673,95,19,0.4
t10,coco_val/siglip2_l,linear,n_good,0.07368421052631578,0.07679322325697996,95,19,0.15789473684210525
t10,coco_val/siglip2_l,mlp,cost,0.021096042105263155,0.013782000017376497,95,19,0.5789473684210527
t10,coco_val/siglip2_l,mlp,oracle_cost,0.016637726315789473,0.009961609172131522,95,19,0.5473684210526316
t10,coco_val/siglip2_l,mlp,regret,0.004458305263157894,0.008892216446297597,95,19,0.5263157894736842
t10,coco_val/siglip2_l,mlp,average_precision,-0.006130631578947365,0.00949994162248931,95,19,0.4842105263157895
t10,coco_val/siglip2_l,mlp,auroc,-0.01090945263157894,0.005338816638683476,95,19,0.631578947368421
t10,coco_val/siglip2_l,mlp,f1,0.010601726315789473,0.010047283640250811,95,19,0.5263157894736842
t10,coco_val/siglip2_l,mlp,fnr,0.01256836842105263,0.005895723883757775,95,19,0.3684210526315789
t10,coco_val/siglip2_l,mlp,fpr,0.008527642105263154,0.011749489248648725,95,19,0.5052631578947369
t10,coco_val/siglip2_l,mlp,n_good,0.25263157894736843,0.0835500414020397,95,19,0.08421052631578947
t10,coco_val/siglip2_l,linconv,cost,-0.023297494736842107,0.008867642518775094,95,19,0.3473684210526316
t10,coco_val/siglip2_l,linconv,oracle_cost,0.0059692421052631615,0.008777368955898554,95,19,0.4631578947368421
t10,coco_val/siglip2_l,linconv,regret,-0.029266715789473683,0.007622818415480951,95,19,0.35789473684210527
t10,coco_val/siglip2_l,linconv,average_precision,0.007309715789473682,0.007768064700381531,95,19,0.4105263157894737
t10,coco_val/siglip2_l,linconv,auroc,-0.0034863052631578842,0.0032865733146903472,95,19,0.4631578947368421
