condition,size,level,arm,test_ap,test_auroc,test_oracle_cost
noise,16,0.1,lr,0.48137068308715236,0.8390287189917248,0.37954694227205205
noise,16,0.1,lr_nosmooth,0.48359175879852967,0.8400160639029933,0.37743188547418566
noise,16,0.1,lr_zeroinit,0.48187070628425976,0.8396435944937897,0.3784572141611527
noise,16,0.1,lrconv_C0.1,0.5026676663889658,0.8578823893237003,0.34216867179105287
noise,16,0.1,lrconv_C1,0.49593018756184026,0.8529015483329129,0.3546445615613588
noise,16,0.1,lrconv_C10,0.4507229187470079,0.831487678234291,0.3999713299364845
noise,16,0.1,lrconv_C100,0.39476758886559515,0.8095230090368047,0.4442614656859265
noise,16,0.1,ridge_a1,0.4696394029088657,0.8394042276409146,0.3840432218287152
noise,16,0.1,svm,0.4430577155935045,0.8279181749212671,0.4066470402538879
noise,16,0.1,svm_C0.1,0.4955853559907897,0.852774164804434,0.3548013243294992
noise,16,0.1,svm_C10,0.34990454852770314,0.7922879483008906,0.4780284119671282
noise,16,0.1,svm_hinge,0.48778978293838077,0.8494140970406326,0.3598207186759423
noise,16,0.2,centroid,0.4503892045148065,0.8267913075925876,0.3910540951331343
noise,16,0.2,lr,0.4056949535325486,0.8028760980491552,0.4430208648467786
noise,16,0.2,lr_nosmooth,0.4099528203110843,0.8042779671642711,0.4396715237138827
noise,16,0.2,lr_zeroinit,0.4060948350107367,0.8033564466785222,0.44205207592307333
noise,16,0.2,lrconv_C0.1,0.44840075634314386,0.8257642294851123,0.39375079734992074
noise,16,0.2,lrconv_C1,0.42933568522194726,0.8176149900218526,0.41348627782780145
noise,16,0.2,lrconv_C10,0.3423330578095635,0.7881537318158559,0.479878113629008
noise,16,0.2,lrconv_C100,0.25171607645430777,0.7574404147960524,0.541936399907061
noise,16,0.2,ridge_a1,0.3787112671101456,0.8001091616275235,0.45438589458351053
noise,16,0.2,svm,0.33530526835645036,0.7858892646320814,0.483933710345322
noise,16,0.2,svm_C0.1,0.43075382009388336,0.8179804726458078,0.4125251163610712
noise,16,0.2,svm_C10,0.20857204602163967,0.7385146835723617,0.577563502895377
noise,16,0.2,svm_hinge,0.42406606792573054,0.8184107593421556,0.41070964797252657
noise,16,0.3,centroid,0.3547287553631686,0.7723481383453776,0.4771762969173046
noise,16,0.3,lr,0.2801979902856774,0.746905318368869,0.5410250645551918
noise,16,0.3,lr_nosmooth,0.2865622896344642,0.7487811047437201,0.5363608860369024
noise,16,0.3,lr_zeroinit,0.28007444256073055,0.7470233402663694,0.5414401575982155
noise,16,0.3,lrconv_C0.1,0.35048988159319744,0.7713201474637755,0.48040418088799014
noise,16,0.3,lrconv_C1,0.3182901421092664,0.7625402204460239,0.5059838640455889
noise,16,0.3,lrconv_C10,0.20571316114177063,0.7255826540678739,0.5899097021140246
noise,16,0.3,lrconv_C100,0.14087030209490758,0.6880359751521418,0.6574315738104448
noise,16,0.3,ridge_a1,0.24912606253985983,0.7413729202692545,0.5562177710110161
noise,16,0.3,svm,0.2020961075253138,0.7240008555280885,0.5928597703462583
noise,16,0.3,svm_C0.1,0.32189318471917633,0.7631314491086628,0.5034547504351116
