window,scope,arm,ref,isolates,metric,ref_mean,arm_mean,mean,se,n,n_clusters,frac_arm_better,frac_tied
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),n_good,6.106227106227106,4.663003663003663,-1.4432234432234432,0.36051811059531935,273,138,0.14285714285714285,0.23443223443223443
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,cost,0.33255890476190475,0.3295112344322344,-0.003047670329670328,0.011719003961141594,273,138,0.4139194139194139,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,oracle_cost,0.20716666300366302,0.22460886813186812,0.01744220512820513,0.005675643652398913,273,138,0.326007326007326,0.018315018315018316
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,regret,0.12539230036630034,0.10490241758241758,-0.020489882783882783,0.011456596317656319,273,138,0.4249084249084249,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,average_precision,0.5387482087912088,0.4978966263736263,-0.04085158241758242,0.006199676820072631,273,138,0.25274725274725274,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,auroc,0.9246807216117217,0.9153421428571428,-0.009338578754578756,0.0039022643977369878,273,138,0.3333333333333333,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,f1,0.41040734432234427,0.061435747252747246,-0.34897159706959713,0.02266974694211234,273,138,0.05860805860805861,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,fnr,0.28370538461538464,0.08935346886446888,-0.19435191575091573,0.017545148293968953,273,138,0.8351648351648352,0.10989010989010989
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,fpr,0.04885354945054944,0.2401577838827839,0.19130423443223443,0.010699714348690841,273,138,0.03663003663003663,0.0
t50,coco_better/siglip2_l,gp_rbf_anch,app_xcal,GP-native vs the plain x-cal SVM,n_good,6.106227106227106,9.179487179487179,3.0732600732600734,0.5465252748743232,273,138,0.47619047619047616,0.21611721611721613
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),cost,0.3180132893772894,0.35169706593406597,0.03368377655677656,0.006938640964195121,273,138,0.4139194139194139,0.003663003663003663
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),oracle_cost,0.21189878388278388,0.2207378827838828,0.0088390989010989,0.0031040382451702968,273,138,0.3443223443223443,0.0695970695970696
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),regret,0.10611452014652016,0.13095921245421246,0.024844692307692307,0.006409609202443572,273,138,0.46153846153846156,0.003663003663003663
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),average_precision,0.4859366776556776,0.44746906593406593,-0.03846761172161172,0.00480716375780399,273,138,0.19047619047619047,0.06593406593406594
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),auroc,0.9244639706959707,0.9228386336996338,-0.0016253369963369964,0.0014521572433567299,273,138,0.336996336996337,0.06593406593406594
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),f1,0.045777454212454216,0.03630324908424908,-0.009474205128205128,0.0028845444887712996,273,138,0.3626373626373626,0.003663003663003663
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),fnr,0.09507216117216116,0.08563226007326007,-0.009439901098901101,0.0029706982576982385,273,138,0.31135531135531136,0.5238095238095238
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),fpr,0.22294112087912085,0.2660648278388278,0.04312370695970696,0.006691301709115796,273,138,0.34798534798534797,0.003663003663003663
t50,coco_better/siglip2_l,app_gmm,app,GMM midpoint vs shipped rule (SVM head),n_good,4.663003663003663,2.937728937728938,-1.7252747252747254,0.3327534464935354,273,138,0.02197802197802198,0.6117216117216118
t50,coco_better/siglip2_l,gp_rbf_anch,gp_rbf_xcal,fold-anchored vs plain x-cal (GP head),cost,0.6852198278388278,0.3295112344322344,-0.3557085934065934,0.023000853020919927,273,138,0.7728937728937729,0.0
