scope,arm,cost,oracle_cost,regret,average_precision,auroc,f1,fnr,fpr,n_good,n_cells,window
coco_better,gp_rbf_gmm,0.39150764498141266,0.2547344572490706,0.13677318401486988,0.4309579814126394,0.8989715408921932,0.04429906691449814,0.1078312565055762,0.28367640148698886,3.546468401486989,538,t50
coco_better,gp_rbf_xcal,0.7022205037174721,0.2729537992565056,0.42926671375464687,0.4700001263940521,0.8843661672862453,0.049708730483271374,0.12359204646840148,0.578628468401487,4.840148698884758,538,t50
coco_val,app,0.2031733322368421,0.138903625,0.06426971710526316,0.7605838980263158,0.9593126282894736,0.3571097894736842,0.06843987828947369,0.1347334802631579,11.861842105263158,304,t50
coco_val,app_gmm,0.21698560855263155,0.15417857894736842,0.06280705263157894,0.6991782894736842,0.9555697335526316,0.37619803618421055,0.06972814473684211,0.14725748355263157,3.848684210526316,304,t50
coco_val,app_xcal,0.18598570065789474,0.12916680263157895,0.056818881578947364,0.7801056282894736,0.9635218552631578,0.6608675756578947,0.15110786842105262,0.03487780592105263,9.555921052631579,304,t50
coco_val,gp_dot_anch,0.21309959210526314,0.14452040131578947,0.06857922368421053,0.760018125,0.9566378651315789,0.37988355263157897,0.07451002960526316,0.13858960197368422,11.549342105263158,304,t50
coco_val,gp_rbf_anch,0.19375082894736842,0.13863813486842105,0.05511271381578947,0.7746730559210526,0.9577509934210525,0.39764494407894735,0.07995457894736842,0.1137962302631579,16.89144736842105,304,t50
coco_val,gp_rbf_anch_maxvar,0.19473194078947367,0.1253118125,0.06942012171052632,0.7916518848684211,0.9635348059210527,0.4014757039473684,0.06353472368421052,0.13119724013157893,13.575657894736842,304,t50
coco_val,gp_rbf_gmm,0.2077355657894737,0.14901799342105262,0.05871753618421053,0.7290028157894737,0.9561696217105263,0.4949310921052632,0.11371865789473685,0.09401693092105264,5.8125,304,t50
coco_val,gp_rbf_xcal,0.6105478355263158,0.1525336644736842,0.458014197368421,0.7468783453947369,0.9534539539473684,0.1860975197368421,0.0405292697368421,0.5700185855263158,7.052631578947368,304,t50
coco_better/siglip,app,0.35275338867924527,0.2503963471698113,0.10235708301886792,0.43973928301886794,0.9016818603773585,0.04199844528301887,0.12145583396226414,0.2312975509433962,3.8981132075471696,265,t50
coco_better/siglip,app_gmm,0.3807546566037736,0.26260368679245283,0.11815101886792453,0.40154796981132074,0.8984551094339623,0.03545225660377358,0.11205074716981132,0.2687039509433962,2.8037735849056604,265,t50
coco_better/siglip,app_xcal,0.3872770264150943,0.2500612075471698,0.13721582264150942,0.49060573207547165,0.9015765056603774,0.3744753320754717,0.3237299962264151,0.0635470679245283,5.849056603773585,265,t50
coco_better/siglip,gp_dot_anch,0.409623562264151,0.2770263924528302,0.13259716981132075,0.42626553584905663,0.8822359094339622,0.03845868301886793,0.12112388301886791,0.2884996943396227,4.388679245283019,265,t50
coco_better/siglip,gp_rbf_anch,0.39018877358490567,0.27561424905660376,0.11457451320754716,0.4502173547169811,0.8816516905660378,0.046359264150943394,0.12912724150943397,0.2610615245283019,7.252830188679245,265,t50
coco_better/siglip,gp_rbf_anch_maxvar,0.3944943094339623,0.26556435849056603,0.12892995471698113,0.4873761283018868,0.8861935924528302,0.061828184905660374,0.12212105283018869,0.2723732754716981,8.766037735849057,265,t50
coco_better/siglip,gp_rbf_gmm,0.41974275094339625,0.27981607547169807,0.13992671698113207,0.40456387924528303,0.883033803773585,0.03885302641509434,0.12529091698113207,0.2944518754716981,3.388679245283019,265,t50
coco_better/siglip,gp_rbf_xcal,0.7197344075471698,0.30403474339622644,0.41569968679245284,0.4404890679245283,0.8653209320754717,0.048673101886792455,0.15421370188679245,0.5655207320754716,4.615094339622641,265,t50
coco_better/siglip2_l,app,0.3180132893772894,0.21189878388278388,0.10611452014652015,0.4859366776556776,0.9244639706959706,0.04577745421245421,0.09507216117216116,0.22294112087912088,4.663003663003663,273,t50
coco_better/siglip2_l,app_gmm,0.35169706593406597,0.2207378827838828,0.13095921245421246,0.44746906593406593,0.9228386336996337,0.03630324908424909,0.08563226007326008,0.26606482783882784,2.937728937728938,273,t50
coco_better/siglip2_l,app_xcal,0.33255890476190475,0.20716666300366302,0.12539230036630036,0.5387482087912088,0.9246807216117217,0.4104073443223443,0.28370538461538464,0.04885354945054945,6.106227106227106,273,t50
coco_better/siglip2_l,gp_dot_anch,0.36500341391941393,0.23535233699633698,0.12965108424908425,0.4775212014652015,0.9097872527472527,0.04488251648351648,0.09600680952380954,0.26899660439560436,5.304029304029304,273,t50
coco_better/siglip2_l,gp_rbf_anch,0.32951123443223446,0.22460886813186814,0.10490241758241758,0.4978966263736264,0.9153421428571429,0.061435747252747246,0.08935346886446886,0.2401577838827839,9.179487179487179,273,t50
coco_better/siglip2_l,gp_rbf_anch_maxvar,0.33950667765567766,0.22770138095238096,0.11180532234432235,0.5400765787545788,0.9113366300366301,0.09145866666666666,0.09692636996336997,0.242580315018315,9.750915750915752,273,t50
coco_better/siglip2_l,gp_rbf_gmm,0.36409994139194135,0.2303878315018315,0.13371206227106228,0.45657863003663,0.9144422380952381,0.04958551648351649,0.09088323443223442,0.2732166923076923,3.6996336996337,273,t50
coco_better/siglip2_l,gp_rbf_xcal,0.6852198278388278,0.24278365201465202,0.4424361721611722,0.4986463919413919,0.9028533003663003,0.05071401098901099,0.09386772893772893,0.5913520952380952,5.058608058608058,273,t50
coco_val/siglip,app,0.21707805263157892,0.15186771052631579,0.0652103552631579,0.7330031315789474,0.9550042631578948,0.34702267763157896,0.07414505921052632,0.14293303289473683,11.302631578947368,152,t50
coco_val/siglip,app_gmm,0.22337695394736842,0.16232453289473683,0.061052486842105264,0.6714565460526316,0.9525999473684211,0.3695425065789474,0.07202848026315789,0.15134846710526317,3.9078947368421053,152,t50
coco_val/siglip,app_xcal,0.20962315131578946,0.14355220394736842,0.06607090131578947,0.7475914407894737,0.9590815921052632,0.6378597105263158,0.1665447960526316,0.0430783552631579,9.302631578947368,152,t50
coco_val/siglip,gp_dot_anch,0.22245748026315787,0.15790886184210526,0.06454863815789474,0.7346698289473684,0.9529506710526315,0.3731913815789474,0.08220879605263158,0.14024868421052633,11.032894736842104,152,t50
coco_val/siglip,gp_rbf_anch,0.20358484868421053,0.1509975197368421,0.05258731578947368,0.7519176118421053,0.9535578815789474,0.39038501973684214,0.08698209210526316,0.11660274342105263,16.30921052631579,152,t50
coco_val/siglip,gp_rbf_anch_maxvar,0.2126399934210526,0.1365152039473684,0.07612477631578947,0.7624295723684211,0.9605156842105262,0.35356659210526314,0.061516421052631574,0.15112362499999998,12.986842105263158,152,t50
