class_id,readout,arm,v,found,ap,p10,left,n_positive
tobacco800/logo_aeq93a00_1,shared,a1_max,0,0,0.6956408863949087,0.9,116,116
tobacco800/logo_aeq93a00_1,shared,a1_max,3,2,0.8115652829940211,1.0,114,116
tobacco800/logo_aeq93a00_1,shared,a1_max,5,4,0.8808802749313657,1.0,112,116
tobacco800/logo_aeq93a00_1,shared,a1_max,10,9,0.9187700831354164,1.0,107,116
tobacco800/logo_aeq93a00_1,shared,a1_max,20,19,0.920340677125904,1.0,97,116
tobacco800/logo_aeq93a00_1,shared,a1p_goods_only,0,0,0.6956408863949087,0.9,116,116
tobacco800/logo_aeq93a00_1,shared,a1p_goods_only,3,2,0.9272145552467024,1.0,114,116
tobacco800/logo_aeq93a00_1,shared,a1p_goods_only,5,4,0.9520773293226981,1.0,112,116
tobacco800/logo_aeq93a00_1,shared,a1p_goods_only,10,9,0.9568082778508354,1.0,107,116
tobacco800/logo_aeq93a00_1,shared,a1p_goods_only,20,19,0.955521589268128,1.0,97,116
tobacco800/logo_afm90c00-first_1_0,shared,a0_exemplar,0,0,0.8629999907407544,1.0,97,97
tobacco800/logo_afm90c00-first_1_0,shared,a0_exemplar,3,3,0.8570853363708661,1.0,94,97
tobacco800/logo_afm90c00-first_1_0,shared,a0_exemplar,5,5,0.8528708003758866,1.0,92,97
tobacco800/logo_afm90c00-first_1_0,shared,a0_exemplar,10,10,0.8412440272181615,1.0,87,97
tobacco800/logo_afm90c00-first_1_0,shared,a0_exemplar,20,20,0.8119218358230922,1.0,77,97
tobacco800/logo_afm90c00-first_1_0,shared,a1_max,0,0,0.8629999907407544,1.0,97,97
tobacco800/logo_afm90c00-first_1_0,shared,a1_max,3,3,0.900418652499834,1.0,94,97
tobacco800/logo_afm90c00-first_1_0,shared,a1_max,5,5,0.8990005160492796,1.0,92,97
tobacco800/logo_afm90c00-first_1_0,shared,a1_max,10,10,0.8952126103848519,1.0,87,97
tobacco800/logo_afm90c00-first_1_0,shared,a1_max,20,20,0.9110576502934151,1.0,77,97
